FBgn0062565	cellular_component
FBgn0062565	Plasma membrane
FBgn0062565	Membrane
FBgn0062565	Integral component of membrane
FBgn0062565	Intrinsic component of membrane
FBgn0062565	Cell leading edge
FBgn0062565	Cell projection membrane
FBgn0062565	Leading edge membrane
FBgn0062565	Neuron projection membrane
FBgn0062565	Dendrite membrane
FBgn0062565	Cell projection
FBgn0062565	Neuron projection
FBgn0062565	Cell periphery
FBgn0062565	Plasma membrane region
FBgn0062565	Cellular anatomical entity
FBgn0062565	Plasma membrane bounded cell projection
FBgn0031089	cellular_component
FBgn0031089	Extracellular region
FBgn0031089	Extracellular space
FBgn0031089	Cellular anatomical entity
FBgn0031092	cellular_component
FBgn0031092	Intracellular
FBgn0031092	Cytoplasm
FBgn0031092	Mitochondrion
FBgn0031092	Peroxisome
FBgn0031092	Microbody
FBgn0031092	Organelle
FBgn0031092	membrane-bounded organelle
FBgn0031092	Intracellular organelle
FBgn0031092	Intracellular membrane-bounded organelle
FBgn0031092	Cellular anatomical entity
FBgn0031094	cellular_component
FBgn0031094	Intracellular
FBgn0031094	Cytoplasm
FBgn0031094	Cytosol
FBgn0031094	Cellular anatomical entity
FBgn0031093	cellular_component
FBgn0031093	Intracellular
FBgn0031093	Cytoplasm
FBgn0031093	Mitochondrion
FBgn0031093	Organelle
FBgn0031093	membrane-bounded organelle
FBgn0031093	Intracellular organelle
FBgn0031093	Intracellular membrane-bounded organelle
FBgn0031093	Cellular anatomical entity
FBgn0041626	cellular_component
FBgn0041626	Plasma membrane
FBgn0041626	Membrane
FBgn0041626	Integral component of membrane
FBgn0041626	Intrinsic component of membrane
FBgn0041626	Cell leading edge
FBgn0041626	Cell projection membrane
FBgn0041626	Leading edge membrane
FBgn0041626	Neuron projection membrane
FBgn0041626	Dendrite membrane
FBgn0041626	Cell projection
FBgn0041626	Neuron projection
FBgn0041626	Cell periphery
FBgn0041626	Plasma membrane region
FBgn0041626	Cellular anatomical entity
FBgn0041626	Plasma membrane bounded cell projection
FBgn0031082	cellular_component
FBgn0031082	Intracellular
FBgn0031082	Cytoskeleton
FBgn0031082	Microtubule
FBgn0031082	Microtubule cytoskeleton
FBgn0031082	Organelle
FBgn0031082	non-membrane-bounded organelle
FBgn0031082	Intracellular organelle
FBgn0031082	Intracellular non-membrane-bounded organelle
FBgn0031082	Supramolecular complex
FBgn0031082	Supramolecular polymer
FBgn0031082	Supramolecular fiber
FBgn0031082	Polymeric cytoskeletal fiber
FBgn0031082	Cellular anatomical entity
FBgn0010215	cellular_component
FBgn0010215	Intracellular
FBgn0010215	Cytoskeleton
FBgn0010215	Plasma membrane
FBgn0010215	cell-cell junction
FBgn0010215	Adherens junction
FBgn0010215	Actin cytoskeleton
FBgn0010215	Membrane
FBgn0010215	Catenin complex
FBgn0010215	Extrinsic component of plasma membrane
FBgn0010215	Extrinsic component of membrane
FBgn0010215	Cell junction
FBgn0010215	protein-containing complex
FBgn0010215	Organelle
FBgn0010215	non-membrane-bounded organelle
FBgn0010215	Intracellular organelle
FBgn0010215	Intracellular non-membrane-bounded organelle
FBgn0010215	Anchoring junction
FBgn0010215	Cell periphery
FBgn0010215	GO:0098796
FBgn0010215	Plasma membrane protein complex
FBgn0010215	Cellular anatomical entity
FBgn0053217	cellular_component
FBgn0052350	cellular_component
FBgn0052350	Intracellular
FBgn0052350	Cytoplasm
FBgn0052350	Endosome
FBgn0052350	Endomembrane system
FBgn0052350	Membrane
FBgn0052350	HOPS complex
FBgn0052350	Cytoplasmic vesicle
FBgn0052350	Vesicle
FBgn0052350	protein-containing complex
FBgn0052350	CORVET complex
FBgn0052350	Organelle
FBgn0052350	membrane-bounded organelle
FBgn0052350	Intracellular organelle
FBgn0052350	Intracellular vesicle
FBgn0052350	GO:0098796
FBgn0052350	Vesicle tethering complex
FBgn0052350	Cellular anatomical entity
FBgn0052819	cellular_component
FBgn0052820	cellular_component
FBgn0052819	Intracellular
FBgn0052820	Intracellular
FBgn0052819	Cytoplasm
FBgn0052820	Cytoplasm
FBgn0052819	Cellular anatomical entity
FBgn0052820	Cellular anatomical entity
FBgn0027588	cellular_component
FBgn0027588	Extracellular region
FBgn0027588	Endomembrane system
FBgn0027588	Cellular anatomical entity
FBgn0000316	cellular_component
FBgn0000316	Intracellular
FBgn0000316	Cytoplasm
FBgn0000316	Cytosol
FBgn0000316	Plasma membrane
FBgn0000316	Membrane
FBgn0000316	Cell junction
FBgn0000316	Dendrite
FBgn0000316	Somatodendritic compartment
